B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
388,302,579,0,-1566.000817,8.683847,29.38731845,2.005733285,2.440822741,-1566.15162,-1566.116976,8.175455399,8.175455399,21.739297
388,303,617,0,-3437.204569,1.88595125,26.1095471,2.325301589,2.05947435,-3437.331674,-3437.29506,2.412768933,2.412768933,22.9758318
388,304,489,0,-2285.798035,0.31720125,27.91293817,2.309222063,2.063434424,-2285.893343,-2285.854887,0.343704237,0.343704237,24.13164633
388,304,490,0,-1006.198212,8.697903,35.12894345,2.204047647,2.154804197,-1006.318989,-1006.26871,8.277088517,8.277088517,31.550389
388,306,546,10,-2258.854195,3.5337035,26.68335192,2.035651992,2.407040375,-2259.029612,-2258.996506,2.677062813,2.677062813,20.77419746
388,306,547,0,-2161.123471,3.5650785,27.63621068,2.026623667,2.284215417,-2161.256198,-2161.220348,2.253804433,2.253804433,22.49675883
388,306,548,1,-2246.277667,1.3500035,30.7337954,2.046267585,2.228567335,-2246.394965,-2246.354474,0.520228626,0.520228626,25.40885082
388,306,614,0,-1244.053642,5.93194575,29.35069755,2.02176673,2.343415062,-1244.219809,-1244.184677,3.596012512,3.596012512,22.04509527
388,306,619,10,-2655.461223,0.961581,27.5749855,2.078063305,2.19923033,-2655.583842,-2655.544695,-1.131347786,-1.131347786,24.56520213
388,307,584,0,-1181.690517,-0.65881225,31.22154487,2.255721794,2.227764649,-1181.81881,-1181.777918,-0.131428524,-0.131428524,25.65987038
388,309,462,10,-1448.399865,-1.00443925,32.8840873,2.229675551,2.193662737,-1448.478477,-1448.436627,-2.206735191,-2.206735191,26.26101902
388,332,608,0,-1738.448551,-3.6476575,31.98494255,2.120346776,2.199938101,-1738.553273,-1738.514353,-3.240610045,-3.240610045,24.42264283
388,333,466,1,-1907.541405,17.40728925,22.20864315,2.008569077,2.459274111,-1907.732503,-1907.70339,16.93361923,16.93361923,18.26911886
388,333,471,11,-1634.879039,2.358145,31.7134233,2.029868645,2.257157963,-1635.038343,-1634.999417,1.34555143,1.34555143,24.42611027
388,366,462,10,-1816.762607,6.55517875,34.50919308,2.01363704,2.312209107,-1816.90075,-1816.856524,4.307214482,4.307214482,27.7522422
388,384,462,10,-1534.588158,2.4042035,31.36682995,2.020913014,2.270207756,-1534.703592,-1534.664694,1.604608689,1.604608689,24.40876918
388,385,462,0,-1512.510907,-0.6901245,32.54404505,2.185441547,2.202328848,-1512.617326,-1512.575983,-1.286256354,-1.286256354,25.94317907
389,46,483,2,-1646.180416,8.85935875,36.33494197,2.313514686,1.968390924,-1646.315817,-1646.263161,8.155846506,8.155846506,33.04261072
389,70,483,0,-2083.514674,3.96121925,28.35858868,2.242171182,2.022781471,-2083.624729,-2083.585677,4.064304524,4.064304524,24.50568654
