search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Y backup Sum/*/*,IRC_full3_/subdir_193,1,1,1,0,0,0,0,1,1,B_00428_Nu_00385_Cl_00447_0000
Y backup Sum/*/*,IRC_full3_/subdir_194,1,1,1,0,0,0,0,1,1,B_00390_Nu_00097_Cl_00493_0000
Y backup Sum/*/*,IRC_full3_/subdir_198,1,1,1,0,0,0,0,1,1,B_00408_Nu_00299_Cl_00443_0000
Y backup Sum/*/*,IRC_full3_/subdir_199,1,1,1,0,0,0,0,1,1,B_00408_Nu_00302_Cl_00543_0000
Y backup Sum/*/*,IRC_full3_/subdir_26,1,1,1,0,0,0,0,1,1,B_00390_Nu_00328_Cl_00610_0000
Y backup Sum/*/*,IRC_full3_/subdir_29,1,1,1,0,0,0,0,1,1,B_00406_Nu_00178_Cl_00552_0000
Y backup Sum/*/*,IRC_full3_/subdir_3,1,1,1,0,0,0,0,1,1,B_00429_Nu_00157_Cl_00516_0000
Y backup Sum/*/*,IRC_full3_/subdir_36,1,1,1,0,0,0,0,1,1,B_00401_Nu_00176_Cl_00465_0000
Y backup Sum/*/*,IRC_full3_/subdir_37,1,1,1,0,0,0,0,1,1,B_00401_Nu_00177_Cl_00604_0000
Y backup Sum/*/*,IRC_full3_/subdir_39,1,1,1,0,0,0,0,1,1,B_00415_Nu_00321_Cl_00517_0000
Y backup Sum/*/*,IRC_full3_/subdir_4,1,1,1,0,0,0,0,1,1,B_00429_Nu_00157_Cl_00516_0000
Y backup Sum/*/*,IRC_full3_/subdir_40,1,1,1,0,0,0,0,1,1,B_00397_Nu_00309_Cl_00459_0000
Y backup Sum/*/*,IRC_full3_/subdir_42,1,1,1,0,0,0,0,1,1,B_00415_Nu_00326_Cl_00488_0000
Y backup Sum/*/*,IRC_full3_/subdir_43,1,1,1,0,0,0,0,1,1,B_00415_Nu_00326_Cl_00488_0000
Y backup Sum/*/*,IRC_full3_/subdir_47,1,1,1,0,0,0,0,1,1,B_00391_Nu_00050_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_49,1,1,1,0,0,0,0,1,1,B_00394_Nu_00309_Cl_00536_0000
Y backup Sum/*/*,IRC_full3_/subdir_50,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_53,1,1,1,0,0,0,0,1,1,B_00394_Nu_00309_Cl_00542_0000
Y backup Sum/*/*,IRC_full3_/subdir_55,1,1,1,0,0,0,0,1,1,B_00391_Nu_00058_Cl_00519_0000
Y backup Sum/*/*,IRC_full3_/subdir_56,1,1,1,0,0,0,0,1,1,B_00391_Nu_00058_Cl_00519_0000
Y backup Sum/*/*,IRC_full3_/subdir_58,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00513_0000
Y backup Sum/*/*,IRC_full3_/subdir_59,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00513_0000
Y backup Sum/*/*,IRC_full3_/subdir_60,1,1,1,0,0,0,0,1,1,B_00412_Nu_00289_Cl_00512_0000
Y backup Sum/*/*,IRC_full3_/subdir_65,1,1,1,0,0,0,0,1,1,B_00433_Nu_00339_Cl_00598_0000
Y backup Sum/*/*,IRC_full3_/subdir_68,1,1,1,0,0,0,0,1,1,B_00412_Nu_00289_Cl_00604_0000
Y backup Sum/*/*,IRC_full3_/subdir_74,1,1,1,0,0,0,0,1,1,B_00409_Nu_00297_Cl_00622_0000
Y backup Sum/*/*,IRC_full3_/subdir_75,1,1,1,0,0,0,0,1,1,B_00409_Nu_00298_Cl_00569_0000
Y backup Sum/*/*,IRC_full3_/subdir_78,1,1,1,0,0,0,0,1,1,B_00409_Nu_00300_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_79,1,1,1,0,0,0,0,1,1,B_00391_Nu_00133_Cl_00525_0000
Y backup Sum/*/*,IRC_full3_/subdir_81,1,1,1,0,0,0,0,1,1,B_00409_Nu_00326_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_85,1,1,1,0,0,0,0,1,1,B_00421_Nu_00037_Cl_00568_0000
Y backup Sum/*/*,IRC_full3_/subdir_87,1,1,1,0,0,0,0,1,1,B_00439_Nu_00052_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_88,1,1,1,0,0,0,0,1,1,B_00439_Nu_00052_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_89,1,1,1,0,0,0,0,1,1,B_00413_Nu_00090_Cl_00527_0000
Y backup Sum/*/*,IRC_full3_/subdir_90,1,1,1,0,0,0,0,1,1,B_00413_Nu_00090_Cl_00527_0000
Y backup Sum/*/*,IRC_full3_/subdir_91,1,1,1,0,0,0,0,1,1,B_00439_Nu_00057_Cl_00501_0000
Y backup Sum/*/*,IRC_full3_/subdir_92,1,1,1,0,0,0,0,1,1,B_00439_Nu_00057_Cl_00501_0000
Y backup Sum/*/*,IRC_full3_/subdir_96,1,1,1,0,0,0,0,1,1,B_00421_Nu_00220_Cl_00514_0000
Y backup Sum/*/*,IRC_full3_/subdir_97,1,1,1,0,0,0,0,1,1,B_00388_Nu_00184_Cl_00563_0000
Data/first_10000/*,Mols,2483,0,0,2483,0,2483,0,2483,2483,"B_00388_Nu_00000_Cl_00462_0100, B_00388_Nu_00000_Cl_00463_0100, B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000"
