search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Sum/*/*,OtherConf/TS_OtherConf,47,47,34,14,14,0,0,47,48,"B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00389_Nu_00339_Cl_00497_0000"
Y backup Sum/*,TS,47,47,34,14,14,0,0,47,48,"B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00389_Nu_00339_Cl_00497_0000"
Y backup Data/*/*,First_ts/TS,45,45,37,31,31,0,0,45,111,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00020_Cl_00591_0000, B_00389_Nu_00047_Cl_00490_0000"
Y backup Data/*/*,First_ts/TS_ENG,37,37,31,18,18,0,0,37,98,"B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00390_Nu_00097_Cl_00493_0000"
Y backup Data/*/*,First_ts/OM,37,37,37,0,0,0,0,37,70,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00020_Cl_00591_0000, B_00389_Nu_00047_Cl_00490_0000"
Sum/*,TS_fail,28,28,28,0,0,0,0,28,40,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00309_Cl_00602_0000, B_00389_Nu_00330_Cl_00484_0000, B_00390_Nu_00242_Cl_00602_0000"
Data/first_10000/*,yqc,24,24,24,0,0,0,0,24,48,"B_00388_Nu_00001_Cl_00485_0000, B_00388_Nu_00030_Cl_00580_0000, B_00388_Nu_00137_Cl_00455_0000, B_00389_Nu_00143_Cl_00505_0000, B_00395_Nu_00225_Cl_00488_0000"
Y backup Data/*/*,first_10000/yqc,24,24,24,0,0,0,0,24,48,"B_00388_Nu_00001_Cl_00485_0000, B_00388_Nu_00030_Cl_00580_0000, B_00388_Nu_00137_Cl_00455_0000, B_00389_Nu_00143_Cl_00505_0000, B_00395_Nu_00225_Cl_00488_0000"
Y backup Data/*/*,First_ts/OM_new_2,24,24,24,0,0,0,0,24,36,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00020_Cl_00591_0000, B_00397_Nu_00254_Cl_00527_0000, B_00397_Nu_00259_Cl_00579_0000"
Sum/*/*,Combined/Combine_Reactant,21,21,20,1,1,0,0,21,37,"B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000, B_00388_Nu_00184_Cl_00499_0000"
