Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
Cc1ccncc1,251,4,-287.58210891,-287.49552391,0.0,,1,-287.54768245309094
Cc1cccc(C)n1,252,7,-326.903257526,-326.792622526,0.0,,2,-326.8499611941624
Fc1cccc(F)n1,253,7,-446.760737476,-446.717813476,0.0,,2,-446.74560891589573
N#Cc1cccc(C#N)n1,254,9,-432.713168932,-432.660385932,0.0,,2,-432.7414220119015
COc1cccc(OC)n1,255,9,-477.329577708,-477.209137708,0.0,,1,-477.2713831633614
C=Cc1cccc(C=C)n1,256,9,-403.053362253,-402.932421253,0.0,,0,-403.0123994002279
CN(C)c1cccc(N(C)C)n1,257,11,-516.219379357,-516.022602357,0.0,,0,-516.1051011133594
C#Cc1cccc(C#C)n1,258,9,-400.526975052,-400.453880052,0.0,,0,-400.5331786686603
Fc1cc(F)nc(F)c1,259,5,-545.99961755,-545.96620855,0.0,,1,-545.9860867575933
Cc1cc(N(C)C)cc(C)n1,260,10,-460.874982241,-460.695760241,0.0,,1,-460.77182142149053
COC(=O)c1cc(OC)nc(OC)c1,261,9,-705.201525405,-705.044894405,0.0,,1,-705.1241227484485
Cc1cc([N+](=O)[O-])cc(C)n1,262,10,-531.397610943,-531.2878989430001,0.0,,0,-531.3571883044962
CC(=O)c1cc(C)nc(C)c1,263,7,-479.546207957,-479.402850957,0.0,,0,-479.4765511586457
Cc1cc(C#N)cc(C)n1,264,9,-419.131689314,-419.024614314,0.0,,1,-419.10066979373363
COc1cc(C)nc(C)c1,265,6,-441.428104726,-441.288499726,0.0,,1,-441.3534670242629
Nc1cc(F)nc(F)c1,266,5,-502.129609395,-502.071529395,0.0,,0,-502.0961094829503
Nc1c(F)c(F)nc(F)c1F,267,6,-700.586349708,-700.5472207079999,0.0,,2,-700.5574782137099
COc1cc(F)cc(OC)n1,268,10,-576.571686234,-576.460774234,0.0,,1,-576.5143292161163
COc1cc(OC)nc(OC)c1,269,7,-591.854152352,-591.704295352,0.0,,1,-591.7742200046595
Cc1cncc(C)c1,270,3,-326.897897123,-326.786521123,0.0,,1,-326.84591800027283
Fc1cncc(F)c1,271,3,-446.739292135,-446.696672135,0.0,,2,-446.72649111821016
COc1cncc(OC)c1,272,4,-477.303997599,-477.183202599,0.0,,1,-477.2467665567769
N#Cc1cncc(C#N)c1,273,4,-432.716272308,-432.663104308,0.0,,2,-432.74470405597305
COc1c(F)c(F)nc(F)c1F,274,7,-759.732054656,-759.679220656,0.0,,1,-759.7013339331105
Cc1cc(C)c(C)nc1C,275,7,-405.536789541,-405.372323541,0.0,,1,-405.44656298772276
COc1cncc(OC)c1OC,276,4,-591.814019408,-591.665204408,0.0,,1,-591.7362773203478
CN(C)c1c(F)cncc1F,277,7,-580.699257437,-580.589409437,0.0,,1,-580.6403100525695
Cc1cncc(C)c1F,278,3,-426.141784974,-426.038078974,0.0,,1,-426.0908326886552
Fc1cncc(F)c1F,279,3,-545.965950548,-545.932754548,0.0,,1,-545.9547458619111
Cc1cncc(C)c1C#N,280,3,-419.128696357,-419.020200357,0.0,,1,-419.0987180500318
Fc1cc(F)c(F)nc1F,281,7,-645.21953821,-645.19565421,0.0,,2,-645.208783529373
COc1nc(OC)c(F)cc1F,282,3,-675.794054035,-675.692833035,0.0,,1,-675.7386095733883
COc1c(C)cncc1C,283,6,-441.416408164,-441.274990164,0.0,,1,-441.34349440125305
COc1c(C#N)cncc1C#N,284,7,-547.237526386,-547.154643386,0.0,,1,-547.2454674237069
c1ccc2[nH]cnc2c1,285,4,-379.846120042,-379.757484042,0.0,,1,-379.8206378857285
c1ccc2[nH]cnc2c1,285,6,-379.846120042,-379.757484042,0.0,,1,-379.8206378857285
c1cnccn1,286,2,-264.293418457,-264.243568457,0.0,,2,-264.2888455566864
c1cocn1,287,4,-246.057074169,-246.024390169,0.0,,1,-246.0504702538076
c1ccnnc1,288,3,-264.264421538,-264.21524453800004,0.0,,0,-264.2612278848949
c1ccncc1,289,3,-248.263831285,-248.202072285,0.0,,2,-248.2477065898312
Cc1nc(C)c(C)nc1C,290,2,-421.574420144,-421.422573144,0.0,,1,-421.49537580675894
Fc1nc(F)c(F)nc1F,291,2,-661.258619712,-661.2463547120001,0.0,,1,-661.2594683879125
N#Cc1nccnc1C#N,292,3,-448.73375444,-448.69318544,0.0,,1,-448.7749147563183
COc1nccnc1OC,293,3,-493.356221792,-493.247421792,0.0,,1,-493.30942766170983
CNc1nccnc1NC,294,3,-453.64631111,-453.51235111,0.0,,0,-453.5739397981958
Fc1nccnc1F,295,2,-462.780836694,-462.749781694,0.0,,1,-462.7782304870924
Cc1nc(C#N)c(C#N)nc1C,296,2,-527.379799256,-527.2879462559999,0.0,,1,-527.382783248972
Cc1nc(N)c(N)nc1C,297,2,-453.676812246,-453.544821246,0.0,,1,-453.59895999092794
Cc1ccc(C)nn1,298,6,-342.905074057,-342.805610057,0.0,,0,-342.8651461138442
COc1ccc(OC)nn1,299,8,-493.326446399,-493.218198399,0.0,,0,-493.2807465589839
C#Cc1ccc(C#C)nn1,300,8,-416.52499024,-416.46451424,0.0,,0,-416.5444943235796
CN(C)c1ccc(N(C)C)nn1,301,10,-532.213977747,-532.030063747,0.0,,0,-532.1137002807169
N#Cc1ccc(C#N)nn1,302,8,-448.705813334,-448.665783334,0.0,,0,-448.74729453967876
Cc1nnc(C)c(C)c1C,303,2,-421.540965265,-421.389476265,0.0,,0,-421.4618036921989
Cc1cnncc1C,304,3,-342.903433803,-342.802607803,0.0,,0,-342.8627062262827
COc1cnncc1OC,305,4,-493.306119378,-493.197572378,0.0,,0,-493.2611562570798
N#Cc1cnncc1C#N,306,4,-448.704081116,-448.663933116,0.0,,0,-448.74735320622995
c1ccc2cnncc2c1,307,5,-417.893782475,-417.8011704750001,0.0,,0,-417.8860228598569
c1ccc2ncccc2c1,308,4,-401.891754453,-401.786627453,0.0,,1,-401.8712361786249
Fc1cnncc1F,309,3,-462.733173185,-462.703023185,0.0,,0,-462.73359894510577
c1c[nH]cn1,310,2,-226.213809362,-226.168581362,0.0,,1,-226.1926843497229
c1c[nH]cn1,310,4,-226.213809362,-226.168581362,0.0,,1,-226.1926843497229
c1ccc2ocnc2c1,311,6,-399.6921936,-399.6159076,0.0,,1,-399.6803566162938
c1cncnc1,312,2,-264.304385744,-264.254325744,0.0,,1,-264.2985766706318
c1ccc2nccnc2c1,313,4,-417.923147566,-417.830011566,0.0,,1,-417.91407838085246
c1cn[nH]c1,314,2,-226.191124909,-226.145880909,0.0,,0,-226.17160107231987
c1cn[nH]c1,314,3,-226.191124909,-226.145880909,0.0,,0,-226.17160107231987
c1ncncn1,315,1,-280.350504955,-280.312161955,0.0,,1,-280.3541966619747
COC(=O)c1c(C)ncnc1C,316,7,-570.814663438,-570.676909438,0.0,,1,-570.7516198987088
Fc1ncnc(F)c1F,317,2,-562.02411588,-562.00209288,0.0,,1,-562.0219567992369
COc1c(C)ncnc1C,318,5,-457.462652069,-457.333622069,0.0,,1,-457.3995766569039
COc1ncnc(OC)c1C,319,3,-532.693894385,-532.560088385,0.0,,0,-532.6270360212358
Cc1nc(C)c(C)c(C)n1,320,2,-421.583608396,-421.432837396,0.0,,1,-421.5024410994515
Cc1nc(C)c(N(C)C)c(C)n1,321,2,-516.225132119,-516.031952119,0.0,,1,-516.1127367355053
Cc1nc(N)nc(C)c1C,322,2,-437.643577172,-437.501552172,0.0,,0,-437.56180020661566
Cc1nc(N)nc(C)c1F,323,2,-497.564048165,-497.458236165,0.0,,0,-497.50432258154126
Cc1cnc(C)nc1,324,3,-342.94203681,-342.84307481,0.0,,1,-342.8996453603188
N#Cc1cnc(N)nc1,325,4,-411.917324525,-411.856941525,0.0,,0,-411.9157784158473
Cc1cnc(N(C)C)nc1,326,3,-437.607280614,-437.466869614,0.0,,1,-437.536103382184
COC(=O)c1ncc(C)cn1,327,5,,,,DFT Error,1,
Fc1cnc(F)nc1,328,3,-462.787443925,-462.756260925,0.0,,1,-462.78391339248844
Cc1ncc(C#N)cn1,329,2,-395.851649869,-395.781690869,0.0,,1,-395.8495278214832
COc1nc(OC)nc(OC)n1,330,3,-623.968406369,-623.840809369,0.0,,1,-623.9056171389964
Cc1nc(C)nc(C)n1,331,2,-398.317737955,-398.206363955,0.0,,1,-398.2649775965595
Fc1nc(F)nc(F)n1,332,2,-578.097649947,-578.086681947,0.0,,1,-578.1034358270527
N#Cc1nc(C#N)nc(C#N)n1,333,3,-556.986514627,-556.962792627,0.0,,1,-557.0590062184169
Nc1nc(N)nc(N)n1,334,2,-446.51205307,-446.42768407,0.0,,0,-446.4568550866233
Cc1cnc(C)o1,335,3,-324.703736708,-324.620047708,0.0,,1,-324.6603065722375
Cc1ncoc1C,336,2,-324.69940229,-324.61525629000005,0.0,,1,-324.65565595608916
COc1cnc(C)o1,337,4,-399.898218381,-399.812054381,0.0,,1,-399.85344959259197
CNc1ncco1,338,3,-340.732538396,-340.658827396,0.0,,0,-340.69157208340846
c1cscn1,339,4,-569.041450172,-569.0131541720001,0.0,,1,-569.0371475043945
Cc1cnc(C)s1,340,3,-647.681122374,-647.601565374,0.0,,1,-647.6405489828156
Cc1ncsc1C,341,2,-647.678433446,-647.599523446,0.0,,1,-647.6375187739065
COc1cnc(C)s1,342,4,-722.873708674,-722.791850674,0.0,,1,-722.8326413913563
CNc1nccs1,343,3,-663.714337941,-663.645127941,0.0,,0,-663.6770667126481
CNc1cnc(NC)s1,344,4,-758.369805117,-758.2586621170001,1.0,,0,-758.299545204518
Cc1ncc[nH]1,345,2,-265.532834268,-265.462739268,0.0,,0,-265.49364906128636
Cc1ncc[nH]1,345,5,-265.532834268,-265.462739268,0.0,,0,-265.49364906128636
Cc1nc[nH]c1C,346,2,-304.850774931,-304.754819931,0.0,,0,-304.79350707739104
Cc1nc[nH]c1C,346,4,-304.850774931,-304.754819931,0.0,,0,-304.79350707739104
Cc1c[nH]c(N)n1,347,3,-320.898574091,-320.812797091,0.0,,0,-320.8404492212862
Cc1c[nH]c(N)n1,347,6,-320.898574091,-320.812797091,0.0,,0,-320.8404492212862
CC(C)(C)c1cnc[nH]1,348,6,-383.474782153,-383.324488153,1.0,,1,-383.3730925991665
CC(C)(C)c1cnc[nH]1,348,8,-383.474782153,-383.324488153,1.0,,1,-383.3730925991665
Cn1cccn1,349,1,-265.500519353,-265.430202353,0.0,,0,-265.4661223741528
Cn1cccn1,349,5,-265.500519353,-265.430202353,0.0,,0,-265.4661223741528
Cc1cc(C)[nH]n1,350,5,-304.829049972,-304.733676972,0.0,,1,-304.77352070719746
Cc1cc(C)[nH]n1,350,6,-304.829049972,-304.733676972,0.0,,1,-304.77352070719746
Cc1nn(C)c(C)c1C,351,2,-383.454953732,-383.309142732,0.0,,1,-383.3665064057772
Cc1nn(C)c(C)c1C,351,3,-383.454953732,-383.309142732,0.0,,1,-383.3665064057772
CC(=O)n1cccn1,352,3,-378.841688929,-378.764179929,0.0,,1,-378.8100769406624
CC(=O)n1cccn1,352,7,-378.841688929,-378.764179929,0.0,,1,-378.8100769406624
COC(=O)c1ccnn1C,353,7,-493.374046299,-493.266194299,0.0,,1,-493.3220647653643
COC(=O)c1ccnn1C,353,8,-493.374046299,-493.266194299,0.0,,1,-493.3220647653643
Cc1cc(N)nn1C,354,5,-360.182429707,-360.071117707,0.0,,1,-360.11132330401375
Cc1cc(N)nn1C,354,6,-360.182429707,-360.071117707,0.0,,1,-360.11132330401375
Cn1ccc(C(F)(F)F)n1,355,1,-602.557853715,-602.490259715,0.0,,1,-602.50837409369
Cn1ccc(C(F)(F)F)n1,355,9,-602.557853715,-602.490259715,0.0,,1,-602.50837409369
c1ccc(-n2cccn2)cc1,356,4,-457.218937036,-457.100331036,0.0,,1,-457.18283652083073
c1ccc(-n2cccn2)cc1,356,8,-457.218937036,-457.100331036,0.0,,1,-457.18283652083073
c1ccn2cncc2c1,357,3,-379.817698064,-379.729615064,0.0,,1,-379.79774031215186
c1ccn2cncc2c1,357,5,-379.817698064,-379.729615064,0.0,,1,-379.79774031215186
c1cn(C2CC2)cn1,358,2,-342.901038658,-342.79973665800003,0.0,,1,-342.84462932900533
c1cn(C2CC2)cn1,358,7,-342.901038658,-342.79973665800003,0.0,,1,-342.84462932900533
Fc1nc[nH]c1F,359,2,-424.676553656,-424.650332656,0.0,,1,-424.658449409083
Fc1nc[nH]c1F,359,4,-424.676553656,-424.650332656,0.0,,1,-424.658449409083
c1ccc(-n2ccnc2)cc1,360,4,-457.239149875,-457.120318875,0.0,,1,-457.20098537893
c1ccc(-n2ccnc2)cc1,360,7,-457.239149875,-457.120318875,0.0,,1,-457.20098537893
Cc1nc(C=O)c2ccccn12,361,2,-532.468361801,-532.347424801,0.0,,0,-532.4342147914102
Cc1nc(C=O)c2ccccn12,361,11,-532.468361801,-532.347424801,0.0,,1,-532.4342147914102
c1ccc(-c2ncc3ccccn23)cc1,362,5,-610.853501044,-610.6909290440001,0.0,,1,-610.8128853780545
c1ccc(-c2ncc3ccccn23)cc1,362,12,-610.853501044,-610.6909290440001,0.0,,1,-610.8128853780545
c1ccc2nc3ccccc3cc2c1,363,4,-555.512942028,-555.3646390279999,0.0,,1,-555.4889369086538
COC(=O)c1ccnc2ccccc12,364,7,-629.75929382,-629.61817082,0.0,,1,-629.7206657164827
FC(F)(F)c1ccc2ccccc2n1,365,13,-738.948055968,-738.844922968,0.0,,1,-738.912137996741
N#Cc1cc(C(F)(F)F)c2ccccc2n1,366,15,-831.169003737,-831.069006737,0.0,,1,-831.157551518833
c1ccc2nc3ccccc3nc2c1,367,4,-571.546098174,-571.409771174,0.0,,1,-571.5333021053164
COc1nc2ccccc2nc1OC,368,3,-646.991594646,-646.839430646,0.0,,1,-646.9389753410599
Cc1nc2ccccc2nc1C,369,2,-496.565671788,-496.421166788,0.0,,1,-496.51844040482723
COc1nnc(OC)c2ccccc12,370,3,-646.959969095,-646.8078450950001,0.0,,0,-646.9090160670472
c1ccc2scnc2c1,371,6,-722.676652313,-722.604607313,0.0,,1,-722.6674389208251
c1ccc(-c2nc3ccccc3[nH]2)cc1,372,5,-610.884795673,-610.722409673,0.0,,1,-610.8390382973977
c1ccc(-c2nc3ccccc3[nH]2)cc1,372,12,-610.884795673,-610.722409673,0.0,,1,-610.8390382973977
Cc1nc2ccccc2o1,373,2,-439.018071534,-438.916448534,0.0,,1,-438.9875907796694
COC(=O)c1cccc2ncoc12,374,9,-627.563495964,-627.450924964,0.0,,1,-627.5331903044671
FC(F)(F)c1nc2ccccc2[nH]1,375,5,-716.895399994,-716.8087289939999,0.0,,1,-716.8561412297784
FC(F)(F)c1nc2ccccc2[nH]1,375,12,-716.895399994,-716.8087289939999,0.0,,1,-716.8561412297784
Cc1nc2ccccc2n1C,376,2,-458.475122204,-458.334767204,0.0,,1,-458.4153561068269
Cc1nc2ccccc2n1C,376,9,-458.475122204,-458.334767204,0.0,,1,-458.4153561068269
O=C1C=Nc2ccccc21,377,3,-437.773342456,-437.6942384560001,0.0,,1,-437.7687928611001
CC1=Nc2ccccc2C1(C)C,378,2,-481.7301571,-481.5523091,0.0,,1,-481.64002119689843
COC(=O)c1cc(C)on1,379,9,-513.21243702,-513.1191150200001,0.0,,0,-513.1726332293124
c1ccc2oncc2c1,380,5,-399.649589973,-399.574073973,0.0,,0,-399.64281064390997
c1cnoc1,381,2,-246.019762618,-245.987703618,0.0,,0,-246.01745107286357
c1ccc2cnccc2c1,382,5,-401.890086026,-401.784915026,0.0,,1,-401.8697244821701
O=C1Cc2cccnc2N1,383,7,-455.088198721,-454.997033721,0.0,,1,-455.05839867492097
O=C1OC(=O)c2ncccc21,384,6,-548.951921235,-548.893124235,0.0,,1,-548.9615266678524
O=c1oc2nccnc2o1,385,4,-526.868832569,-526.825334569,0.0,,1,-526.8837997349697
COc1c(F)cncc1F,386,6,-561.250530895,-561.180441895,0.0,,1,-561.2182091624176
Nc1ccncc1,387,4,-303.630492312,-303.553550312,0.0,,1,-303.59630697896495
COc1cccnc1,623,6,-362.783532681,-362.692417681,0.0,,2,-362.7471545940539
