identifier,component_id,match_scope,is_ts_candidate_folder,is_ts_candidate_hit,component_missing_candidates,component_match_is_ambiguous,file_identifier,search_space,folder,relative_folder,file_name,suffix,path
B_00389_Nu_00317_Cl_00604_0000,B_00389_Nu_00317_Cl_00604,full_conf,True,True,1,False,B_00389_Nu_00317_Cl_00604_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00317_Cl_00604_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00317_Cl_00604_0000reverse.gjf
B_00389_Nu_00317_Cl_00610_0000,B_00389_Nu_00317_Cl_00610,full_conf,True,True,1,False,B_00389_Nu_00317_Cl_00610_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00317_Cl_00610_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00317_Cl_00610_0000forward.gjf
B_00389_Nu_00317_Cl_00610_0000,B_00389_Nu_00317_Cl_00610,full_conf,True,True,1,False,B_00389_Nu_00317_Cl_00610_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00317_Cl_00610_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00317_Cl_00610_0000reverse.gjf
B_00389_Nu_00330_Cl_00484_0000,B_00389_Nu_00330_Cl_00484,full_conf,True,True,1,False,B_00389_Nu_00330_Cl_00484_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00330_Cl_00484_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00330_Cl_00484_0000forward.gjf
B_00389_Nu_00330_Cl_00484_0000,B_00389_Nu_00330_Cl_00484,full_conf,True,True,1,False,B_00389_Nu_00330_Cl_00484_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00330_Cl_00484_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00330_Cl_00484_0000reverse.gjf
B_00389_Nu_00334_Cl_00499_0000,B_00389_Nu_00334_Cl_00499,full_conf,True,True,1,False,B_00389_Nu_00334_Cl_00499_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00334_Cl_00499_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00334_Cl_00499_0000forward.gjf
B_00389_Nu_00334_Cl_00499_0000,B_00389_Nu_00334_Cl_00499,full_conf,True,True,1,False,B_00389_Nu_00334_Cl_00499_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00334_Cl_00499_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00334_Cl_00499_0000reverse.gjf
B_00389_Nu_00334_Cl_00533_0000,B_00389_Nu_00334_Cl_00533,full_conf,True,True,1,False,B_00389_Nu_00334_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00334_Cl_00533_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00334_Cl_00533_0000forward.gjf
B_00389_Nu_00334_Cl_00533_0000,B_00389_Nu_00334_Cl_00533,full_conf,True,True,1,False,B_00389_Nu_00334_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00389_Nu_00334_Cl_00533_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00389_Nu_00334_Cl_00533_0000reverse.gjf
B_00390_Nu_00097_Cl_00493_0000,B_00390_Nu_00097_Cl_00493,full_conf,True,True,1,False,B_00390_Nu_00097_Cl_00493_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00097_Cl_00493_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00097_Cl_00493_0000forward.gjf
B_00390_Nu_00097_Cl_00493_0000,B_00390_Nu_00097_Cl_00493,full_conf,True,True,1,False,B_00390_Nu_00097_Cl_00493_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00097_Cl_00493_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00097_Cl_00493_0000reverse.gjf
B_00390_Nu_00182_Cl_00484_0000,B_00390_Nu_00182_Cl_00484,full_conf,True,True,1,False,B_00390_Nu_00182_Cl_00484_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00182_Cl_00484_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00182_Cl_00484_0000forward.gjf
B_00390_Nu_00182_Cl_00484_0000,B_00390_Nu_00182_Cl_00484,full_conf,True,True,1,False,B_00390_Nu_00182_Cl_00484_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00182_Cl_00484_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00182_Cl_00484_0000reverse.gjf
B_00390_Nu_00242_Cl_00602_0000,B_00390_Nu_00242_Cl_00602,full_conf,True,True,1,False,B_00390_Nu_00242_Cl_00602_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00242_Cl_00602_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00242_Cl_00602_0000forward.log
B_00390_Nu_00242_Cl_00602_0000,B_00390_Nu_00242_Cl_00602,full_conf,True,True,1,False,B_00390_Nu_00242_Cl_00602_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00242_Cl_00602_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00242_Cl_00602_0000reverse.log
B_00390_Nu_00306_Cl_00543_0000,B_00390_Nu_00306_Cl_00543,full_conf,True,True,1,False,B_00390_Nu_00306_Cl_00543_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00306_Cl_00543_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00306_Cl_00543_0000forward.log
B_00390_Nu_00306_Cl_00543_0000,B_00390_Nu_00306_Cl_00543,full_conf,True,True,1,False,B_00390_Nu_00306_Cl_00543_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00306_Cl_00543_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00306_Cl_00543_0000reverse.log
B_00390_Nu_00328_Cl_00610_0000,B_00390_Nu_00328_Cl_00610,full_conf,True,True,1,False,B_00390_Nu_00328_Cl_00610_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00328_Cl_00610_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00328_Cl_00610_0000forward.gjf
