Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
CNC(=O)CCl,503,5,-708.1340212,-708.0725062,0,-247.8585679,-247.8006079,0,460.2754533,460.2718983,67.77771825,0
ClCCCl,504,0,-999.0461637,-999.0162677,0,-538.7646682,-538.7391482,0,460.2814955,460.2771195,71.05402125,0
COP(=O)(CCl)OC,505,5,-1146.426426,-1146.343252,0,-686.1484647,-686.0696107,0,460.277961,460.273641,68.8712625,0
CC(C)(C)Cl,506,4,-618.0734841,-617.9796951,0,-157.7915952,-157.7037692,0,460.2818889,460.2759259,70.30503725,0
CC1(Cl)CCCCC1,507,2,-734.8104601,-734.6522791,0,-274.5269863,-274.3745423,0,460.2834738,460.2777368,71.441377,0
ClC12CC3CC(CC(C3)C1)C2,508,0,-850.3464549,-850.1440119,0,-390.0557839,-389.8560099,0,460.290671,460.288002,77.88279,0
FC(F)(F)C1(Cl)CC1,509,5,-914.5587151,-914.5133341,0,-454.2731742,-454.2316042,0,460.2855408,460.2817298,73.9469845,0
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,510,0,-1193.20834,-1192.971821,0,-732.9690824,-732.7331724,0,460.2392575,460.2386485,46.91346875,0
C=CC1(Cl)CCOC1=O,511,3,-843.4851205,-843.3961805,0,-383.2409647,-383.1545447,0,460.2441558,460.2416358,48.7879995,0
CC1(Cl)CC(=O)C=CO1,512,2,-843.489379,-843.400193,0,-383.2160068,-383.1307948,0,460.2733722,460.2693982,66.2089055,0
COC(=O)C(C)(Cl)C#N,513,6,-859.5191458,-859.4464688,0,-399.2751684,-399.2054564,0,460.2439774,460.2410124,48.396816,0
FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,514,8,-1671.854003,-1671.847468,0,-1211.588577,-1211.585571,0,460.2654257,460.2618967,61.50171425,0
CC(C)(F)Cl,515,4,-678.0024056,-677.9445836,0,-217.7219114,-217.6679134,0,460.2804943,460.2766703,70.77214825,0
CC(Cl)C(=O)N(C)C,516,2,-786.7498964,-786.6337464,0,-326.4811491,-326.3710151,0,460.2687473,460.2627313,62.02542575,0
ClC1CCCO1,517,0,-692.0701677,-691.9916257,0,-231.7880378,-231.7123698,0,460.2821299,460.2792559,72.39461225,0
O=C1NCC1Cl,518,5,-706.8948487,-706.8529737,0,-246.6171907,-246.5780667,0,460.2776579,460.2749069,69.66561475,0
ClC1CCOCC1,519,0,-731.3721083,-731.2652963,0,-271.0994706,-270.9967306,0,460.2726376,460.2685656,65.686449,0
ClC1CC(Cl)C1,520,0,-1076.440097,-1076.377602,0,-616.1542615,-616.0972235,0,460.2858352,460.2803782,73.0988555,0
COC(=O)C(C)Cl,522,6,-767.305865,-767.229264,0,-307.0415085,-306.9680355,0,460.2643565,460.2612285,61.08241875,0
O=C1C=CC(=O)C1Cl,523,7,-802.9502072,-802.9123792,0,-342.6903771,-342.6541951,0,460.2598301,460.2581841,59.17205775,0
CC(=O)C(Cl)C(C)=O,524,4,-805.3961044,-805.3188124,0,-345.1309531,-345.0566731,0,460.2651513,460.2621393,61.65394575,0
CC(N)Cl,525,3,-594.8014206,-594.7451096,0,-134.5208345,-134.4678565,0,460.2805861,460.2772531,71.13785525,0
CN1CC(=O)C1Cl,526,6,-746.1733951,-746.1062711,0,-285.924297,-285.858343,0,460.2490981,460.2479281,52.73641775,0
CC(Cl)C#N,527,2,-631.6591612,-631.6226162,0,-171.4018069,-171.3690219,0,460.2573542,460.2535942,56.2918955,0
CC(=O)C(F)Cl,528,5,-751.9958007,-751.9588167,0,-291.734087,-291.699515,0,460.2617137,460.2593017,59.87335175,0
FC(Cl)C1CCCC1,529,2,-794.7245465,-794.6048735,0,-334.4397649,-334.3239039,0,460.2847816,460.2809696,73.469959,0
CC(=O)C(Cl)Cl,530,4,-1112.360032,-1112.326069,0,-652.1037041,-652.0719661,0,460.256328,460.254103,56.6111675,0
O=C(Nc1ccccc1)C(Cl)Cl,531,10,-1359.450743,-1359.35186,0,-899.1913648,-899.0948948,0,460.2593777,460.2569647,58.40688425,0
CC(=O)C(F)(Cl)Cl,532,5,-1211.594047,-1211.569355,1,-751.3401702,-751.3168352,0,460.2538772,460.2525202,55.6179605,0
ClC(Cl)c1ccccc1,533,0,-1190.756638,-1190.680731,0,-730.5010663,-730.4268893,0,460.255572,460.253842,56.44739,0
CC(C)C(C)(Cl)Cl,534,5,-1116.988477,-1116.879251,0,-656.7188712,-656.6138172,0,460.2696057,460.2654337,63.72118175,0
COC(C)(C)C(Cl)Cl,535,6,-1192.185498,-1192.073694,0,-731.9146395,-731.8064175,0,460.2708586,460.2672766,64.8776015,0
CC(=O)C(Cl)(Cl)C(C)=O,536,4,-1264.990024,-1264.923718,0,-804.7413043,-804.6765793,0,460.2487198,460.2471388,52.241132,0
FC(Cl)(Cl)c1ccccc1,537,2,-1289.992872,-1289.926735,0,-829.7365744,-829.6720814,0,460.2562977,460.2546537,56.95673175,0
CS(=O)(=O)OCC(Cl)Cl,538,7,-1662.152468,-1662.088832,1,-1201.882051,-1201.821798,1,460.2704167,460.2670337,64.72518175,0
ClC(Cl)N1CCCC1,539,0,-1171.118126,-1171.012609,0,-710.8491226,-710.7462506,0,460.269003,460.266358,64.30118,0
ClC(Cl)C1OCCO1,540,0,-1226.874294,-1226.805304,0,-766.6013259,-766.5366199,0,460.2729677,460.2686837,65.76055675,0
ClC(Cl)c1ccco1,541,0,-1188.535029,-1188.488531,0,-728.2862157,-728.2414497,0,460.2488133,460.2470813,52.20505075,0
CNC(=O)C(Cl)(Cl)Cl,542,5,-1627.321719,-1627.284322,0,-1167.075415,-1167.039964,0,460.2463036,460.2443576,50.495929,0
ClC(Cl)(Cl)c1ccco1,543,0,-1648.127722,-1648.093168,0,-1187.888702,-1187.855558,0,460.2390198,460.2376098,46.2616845,0
