metric,unit,n,mean_signed_delta,mean_absolute_delta,rms_delta,median_signed_delta,max_absolute_delta,max_change_system,max_change_signed_delta
B-Cl,A,14,-0.00154462314375963,0.008957180522453534,0.010439891223638977,-0.0015794833760556237,0.0182883723439744,B_00388_L_00001_Cl_00506,-0.0182883723439744
C-Cl,A,14,0.007201736629695762,0.010192358208888086,0.011007304051958112,0.0076688350037039665,0.01692538485769779,B_00394_L_00046_Cl_00519,0.01692538485769779
B-Cl-C angle,deg,14,0.8087954032528748,0.8705336896278867,1.3581204842235475,0.47641931287719785,4.241727676983942,B_00388_L_00072_Cl_00490,4.241727676983942
