source,BN1_key,Cl1_key,BN2_key,Cl2_key,y11_BN1_Cl1,y12_BN1_Cl2,y21_BN2_Cl1,y22_BN2_Cl2,delta_BN1_inactive_minus_active,delta_BN2_inactive_minus_active,min_delta,diagonal_mean,cross_mean,delta_rule_pass,threshold_rule_pass,delta_margin,threshold_margin,BN1_B_Index,BN1_N_Index,BN1_B_smiles,BN1_N_smiles,BN1_B_type,BN1_Nu_type,BN2_B_Index,BN2_N_Index,BN2_B_smiles,BN2_N_smiles,BN2_B_type,BN2_Nu_type,Cl1_Cl_Index,Cl1_Cl_Atomid,Cl1_Cl_smiles,Cl1_Cl_type,Cl2_Cl_Index,Cl2_Cl_Atomid,Cl2_Cl_smiles,Cl2_Cl_type
observed_DFT,B_00439_Nu_00254,Cl_00533,B_00417_Nu_00180,Cl_00621,17.34641547,25.10928072,16.80884878,10.41465515,7.762865250000001,6.394193630000002,6.394193630000002,13.880535309999999,20.959064750000003,True,False,1.394193630000002,-8.191151219999998,439,254,BC(F)(F)F,N#Cc1cccc(C#N)n1,RBH2,Amine/Aryl N,417,180,Bc1c(F)c(F)c(F)c(F)c1F,[C]1N2C=CC=CC2=C2C=CC=CN12,RBH2,NHC,533,0,ClC(Cl)c1ccccc1,CCl2,621,8,Fc1c(F)c(F)c(C(Cl)(Cl)Cl)c(F)c1F,CCl3
observed_DFT,B_00388_Nu_00001,Cl_00519,B_00429_Nu_00332,Cl_00573,5.8188075,12.20948963,21.88282005,6.501157275,6.39068213,15.381662774999999,6.39068213,6.1599823874999995,17.04615484,True,False,1.39068213,-12.79051037,388,1,B,CN(C)C,BH3,Amine/Aryl N,429,332,Bc1nc(F)c(F)c(F)n1,Fc1nc(F)nc(F)n1,RBH2,Amine/Aryl N,519,0,ClC1CCOCC1,CCl,573,2,CC1(Cl)CCCO1,CCl
observed_DFT,B_00388_Nu_00001,Cl_00519,B_00427_Nu_00294,Cl_00573,5.8188075,12.20948963,27.78111925,19.08038622,6.39068213,8.700733029999999,6.39068213,12.44959686,19.995304439999998,True,False,1.39068213,-12.79051037,388,1,B,CN(C)C,BH3,Amine/Aryl N,427,294,BC(=C)C,CNc1nccnc1NC,RBH2,Amine/Aryl N,519,0,ClC1CCOCC1,CCl,573,2,CC1(Cl)CCCO1,CCl
observed_DFT,B_00417_Nu_00296,Cl_00561,B_00388_Nu_00051,Cl_00619,19.20367742,29.03471365,10.42329582,4.033319,9.831036229999999,6.38997682,6.38997682,11.61849821,19.729004735,True,False,1.3899768200000002,-14.57670418,417,296,Bc1c(F)c(F)c(F)c(F)c1F,Cc1nc(C#N)c(C#N)nc1C,RBH2,Amine/Aryl N,388,51,B,CN(C)c1ccc(C#N)cc1,BH3,Amine/Aryl N,561,4,C=CC(C)Cl,CCl,619,4,O=C1OC(Cl)(Cl)C(Cl)(Cl)O1,CCl2
observed_DFT,B_00423_Nu_00160,Cl_00561,B_00388_Nu_00051,Cl_00619,17.98000223,26.42634675,10.42329582,4.033319,8.44634452,6.38997682,6.38997682,11.006660615,18.424821285,True,False,1.3899768200000002,-14.57670418,423,160,N#CBC#N,CN1[C]N(C)C(=O)C1=O,R2BH,NHC,388,51,B,CN(C)c1ccc(C#N)cc1,BH3,Amine/Aryl N,561,4,C=CC(C)Cl,CCl,619,4,O=C1OC(Cl)(Cl)C(Cl)(Cl)O1,CCl2
observed_DFT,B_00417_Nu_00254,Cl_00561,B_00388_Nu_00051,Cl_00619,22.32573465,29.24244753,10.42329582,4.033319,6.916712879999999,6.38997682,6.38997682,13.179526825,19.832871675,True,False,1.3899768200000002,-14.57670418,417,254,Bc1c(F)c(F)c(F)c(F)c1F,N#Cc1cccc(C#N)n1,RBH2,Amine/Aryl N,388,51,B,CN(C)c1ccc(C#N)cc1,BH3,Amine/Aryl N,561,4,C=CC(C)Cl,CCl,619,4,O=C1OC(Cl)(Cl)C(Cl)(Cl)O1,CCl2
observed_DFT,B_00423_Nu_00291,Cl_00566,B_00417_Nu_00120,Cl_00597,13.24501272,22.862586,17.38516988,10.99685593,9.61757328,6.388313949999999,6.388313949999999,12.120934325,20.12387794,True,False,1.3883139499999988,-7.614830120000001,423,291,N#CBC#N,Fc1nc(F)c(F)nc1F,R2BH,Amine/Aryl N,417,120,Bc1c(F)c(F)c(F)c(F)c1F,C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,RBH2,Phosphine,566,2,CC(Cl)c1ccccc1,CCl,597,4,O=C=NC(Cl)(Cl)Cl,CCl3
observed_DFT,B_00411_Nu_00332,Cl_00561,B_00417_Nu_00180,Cl_00591,22.65931992,29.04404458,21.55740483,13.55145235,6.38472466,8.00595248,6.38472466,18.105386135,25.300724705,True,False,1.3847246599999998,-3.4425951700000006,411,332,B1c2ccccc2-c2ccccc21,Fc1nc(F)nc(F)n1,R2BH,Amine/Aryl N,417,180,Bc1c(F)c(F)c(F)c(F)c1F,[C]1N2C=CC=CC2=C2C=CC=CN12,RBH2,NHC,561,4,C=CC(C)Cl,CCl,591,3,O=CC(Cl)Cl,CCl2
observed_DFT,B_00388_Nu_00001,Cl_00519,B_00417_Nu_00143,Cl_00553,5.8188075,13.45282253,16.28534435,9.905482825,7.6340150300000005,6.379861524999999,6.379861524999999,7.8621451625,14.86908344,True,False,1.379861524999999,-11.54717747,388,1,B,CN(C)C,BH3,Amine/Aryl N,417,143,Bc1c(F)c(F)c(F)c(F)c1F,N#CP(C#N)C#N,RBH2,Phosphine,519,0,ClC1CCOCC1,CCl,553,2,NCCl,CCl
observed_DFT,B_00394_Nu_00309,Cl_00533,B_00391_Nu_00059,Cl_00593,27.1005453,33.47908907,19.06644945,12.66239153,6.37854377,6.40405792,6.37854377,19.881468415,26.27276926,True,False,1.3785437700000003,-7.1005453,394,309,Bc1ccccc1,Fc1cnncc1F,RBH2,Amine/Aryl N,391,59,BC#C,N#CN1CCCCC1,RBH2,Amine/Aryl N,533,0,ClC(Cl)c1ccccc1,CCl2,593,6,FC(F)(F)CC(Cl)Cl,CCl2
