trend,n,pearson_r,spearman_r,slope_delta_per_kcal,intercept_kcal,p_value
QHARM - original vs original barrier,9237,-0.6102886059254522,-0.6179808189831556,-0.2530467716677143,-0.26356464462848983,0.0
QHARM - AT RRHO vs AT RRHO barrier,9237,-0.05122961405583536,-0.0594768491447906,-0.008544686532128812,2.4101564686911185,8.383931249424769e-07
QHARM rxn dG - original vs original rxn dG,9237,0.010639090934524677,0.010296103566467965,0.0019908808330740277,0.42138650720802895,0.3065886541382375
