metric,pearson,spearman
TS_spin_vs_abs_BEP_residual,-0.0019278038348076274,-0.0036793235572999605
BN_reactant_spin_vs_abs_BEP_residual,0.05020150976934269,0.07707754694801774
max_TS_BN_reactant_spin_vs_abs_BEP_residual,0.029732977482113683,0.048380145709594105
