B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
BC#N,389,0,N#CP(C#N)C#N,143,2,ClCN1CCCC1,500,0,0,0,-11.344949,-1449.5190492916713,-7.041969323914341,RBH2,Phosphine,CCl
CCBCC,433,2,FC(F)(F)N1[C]N(C(F)(F)F)CC1,163,5,CN1CC(=O)C1Cl,526,6,0,0,-4.22138075,-1830.7750323322907,-7.5562513474221245,R2BH,NHC,CCl
BCC=C,416,0,N#CP(C#N)C#N,143,2,CN1CC(=O)C1Cl,526,6,0,0,-31.0217175,-1508.6355734120727,-27.083467269683062,RBH2,Phosphine,CCl
CCBCC,433,2,CN1[C]N(C)C(=O)C(C)(C)C1=O,193,2,CN1CC(=O)C1Cl,526,6,0,0,-8.6184615,-1501.267820144835,-8.18996029083917,R2BH,NHC,CCl
CBOC,404,1,CSP(SC)SC,74,2,CN1CC(=O)C1Cl,526,6,0,0,-27.17583275,-2581.647666645061,-23.784598791048943,R2BH,Phosphine,CCl
B,388,0,CN(C)c1ccc(C#N)cc1,51,1,NCCl,553,2,1,0,-35.6147665,-1039.7878352584194,-33.78889757901863,BH3,Amine/Aryl N,CCl
B,388,0,c1ccc(OP(c2ccccc2)c2ccccc2)cc1,137,5,N#CC(Cl)(Cl)Cl,455,3,0,0,-46.8939535,-2648.930426572071,-46.9395065496244,BH3,Phosphine,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,COS(=O)(=O)C(Cl)(Cl)Cl,598,6,0,0,-5.794084,-2720.340947197442,-5.261303181087672,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,C=CC(=O)C(Cl)(Cl)Cl,544,5,0,0,-9.44694975,-2247.971151016613,-10.815182466547638,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,120,6,CN1CC(=O)C1Cl,526,6,0,0,-38.326696,-2307.1513329831955,-31.631287811941647,R2BH,Phosphine,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,N#CC(Cl)(Cl)Cl,455,3,0,0,-13.98402575,-2149.499641334755,-15.217381448671864,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,C=CP(c1ccccc1)c1ccccc1,91,2,CC1(Cl)CCCO1,573,2,0,0,-7.35448825,-1906.5523077073883,-8.507003881423236,R2BH,Phosphine,CCl
FBF,409,1,CC(=O)CN(C)C,27,4,CN1CC(=O)C1Cl,526,6,0,0,-48.5186765,-1297.7752046887488,-45.892922452927934,R2BH,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,C=CP(c1ccccc1)c1ccccc1,91,2,ClC1CCCO1,517,0,0,0,-5.99770775,-1867.2513813950072,-6.897061814497291,R2BH,Phosphine,CCl
CN1BN(C)CC1,436,2,COP(OC)c1ccccc1,88,2,COC(C)(C)Cl,582,5,0,0,-4.6406135,-1789.1001873261323,-4.00919349400534,R2BH,Phosphine,CCl
