,count,mean_min,median_min,std_min,min_min,q25_min,q75_min,max_min
LB-B,9237.0,20.224302262639387,11.680000000000001,27.786629323903664,0.6766666666666665,6.790000000000001,25.28333333333333,397.78666666666663
C-Cl,9237.0,2.045673559236404,1.7683333333333333,1.4374152322952103,0.3283333333333332,1.1999999999999997,2.561666666666667,10.121666666666666
LB-B-Cl,9237.0,10.896842589585363,7.866666666666666,11.30581478445724,0.9283333333333332,5.068333333333334,12.64333333333333,185.98999999999998
C radical,9237.0,3.267017429901483,2.5033333333333334,2.5632606097907082,0.4516666666666666,1.6016666666666666,4.175,16.641666666666666
TS,9237.0,48.62418534156111,38.41,39.14977697346886,2.413333333333334,24.046666666666667,60.464999999999996,633.7766666666666
