comparison,n,x,y,R2_identity,R2_linear_fit,MAE_kcal_mol,RMSE_kcal_mol,mean_delta_kcal_mol,median_delta_kcal_mol,std_delta_kcal_mol,min_delta_kcal_mol,max_delta_kcal_mol,pearson_r,spearman_r,linear_slope,linear_intercept
Barrier: original DB -> QHARM,9237,barrier_kcal,barrier_qharm_kcal,0.055065080355896745,0.8379624579507821,5.597351917138708,6.168267875957775,-5.578991437794792,-5.4551922605852035,2.631184643218149,-36.303601934870656,6.8750065961484825,0.9154028937854534,0.917900011861476,0.746953228332286,-0.26356464462849516
Barrier: AaronTools RRHO -> QHARM,9237,barrier_aarontools_rrho_kcal,barrier_qharm_kcal,0.7730951443190242,0.9725480261406394,2.3000281887746343,2.453283190124064,2.2979754849666945,2.2694232966423282,0.8590616835231161,-1.1345798104457767,5.478520982876322,0.9861784960850847,0.9852346821195355,0.9914553134678711,2.4101564686911203
Barrier: original DB -> AaronTools RRHO,9237,barrier_kcal,barrier_aarontools_rrho_kcal,-0.6789620451063121,0.8776822457803812,7.878345975471068,8.222099271958335,-7.876966922761486,-7.743287073031054,2.3573099346885824,-38.54286704733717,4.11035258386085,0.9368469703107233,0.9395027131996211,0.7603825961514059,-2.843633519092256
Reaction dG: original DB -> QHARM,9237,delta_g_rxn_kcal,delta_g_rxn_qharm_kcal,0.963531097553442,0.9663009845649495,1.4880579339822153,1.9111584203863898,0.38130567679489585,0.3396470857334215,1.872835340555515,-24.656695488605486,12.565082978256912,0.9830060958940944,0.9809505656792532,1.0019908808330737,0.42138650720802673
