component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00432_00332,BN_radical_complex_r,BN B-atom spin density,0.138057,0.488521,0.0302,2,0.0,3.9286152154424165,3.9286152154424165
BN_00432_00337,BN_radical_complex_r,BN B-atom spin density,0.265722,0.663337,0.0162999999999999,1,0.0,2.7346290506135,2.7346290506135
BN_00432_00339,BN_radical_complex_r,BN B-atom spin density,0.226746,0.695464,0.0131999999999999,4,0.0,3.2583892272808854,3.0999226852399646
BN_00432_00342,BN_radical_complex_r,BN B-atom spin density,0.318652,0.603208,0.018,1,0.0,4.527068587577109,4.527068587577109
BN_00432_00352_Naid_00007,BN_radical_complex_r,BN B-atom spin density,0.150723,0.495603,0.0275999999999999,1,0.0,5.612210887366203,5.612210887366203
BN_00432_00353_Naid_00007,BN_radical_complex_r,BN B-atom spin density,0.138122,0.4506,0.0202999999999999,1,0.0,2.7778055156483568,2.7778055156483568
BN_00432_00355_Naid_00009,BN_radical_complex_r,BN B-atom spin density,0.207361,0.412695,0.0204999999999999,2,0.0,1.278024025554327,1.278024025554327
BN_00432_00358_Naid_00007,BN_radical_complex_r,BN B-atom spin density,0.534741,0.534741,0.0365999999999999,1,0.0,2.895212133765048,2.895212133765048
BN_00432_00359_Naid_00002,BN_radical_complex_r,BN B-atom spin density,0.280586,0.656734,0.0192999999999999,2,0.0,3.718906784368561,3.718906784368561
BN_00432_00363,BN_radical_complex_r,BN B-atom spin density,0.04928,0.632964,0.0564,1,0.0,5.607402271200854,5.607402271200854
BN_00432_00366,BN_radical_complex_r,BN B-atom spin density,0.060207,0.455023,0.0393999999999999,1,0.0,1.9625040239353808,1.9625040239353808
BN_00432_00368,BN_radical_complex_r,BN B-atom spin density,0.124003,0.488586,0.0208,1,0.0,0.730346397221119,0.730346397221119
BN_00432_00379,BN_radical_complex_r,BN B-atom spin density,0.125897,0.404211,0.0159,1,0.0,6.542812432708693,6.542812432708693
BN_00432_00380,BN_radical_complex_r,BN B-atom spin density,0.183863,0.548684,0.0338,1,0.0,3.1393249604028384,3.1393249604028384
BN_00432_00384,BN_radical_complex_r,BN B-atom spin density,0.087821,0.35537,0.0262999999999999,6,0.0,3.8400424763458125,3.8385694665103554
BN_00432_00385,BN_radical_complex_r,BN B-atom spin density,0.136813,0.40701,0.0253999999999999,8,0.0,2.4230712415139433,2.4175883495690105
BN_00433_00008,BN_radical_complex_r,BN B-atom spin density,0.093203,0.566564,0.0456999999999999,2,0.5,13.070805922010987,13.070805922010987
