identifier,B_Index,N_Index,Cl_Index,conf_idxs_ts,log_source,log_name_variant,log_found,log_path,normal_termination,charge,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after
B_00388_Nu_00001_Cl_00508_0010,388,1,508,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00508_0010.log,True,0,2,0.75,0.7574,0.75,0.75,0.007399999999999962,0.0
B_00388_Nu_00001_Cl_00517_0010,388,1,517,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00517_0010.log,True,0,2,0.75,0.7568,0.75,0.75,0.006800000000000028,0.0
B_00388_Nu_00001_Cl_00519_0004,388,1,519,4,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00519_0004.log,True,0,2,0.75,0.7563,0.75,0.75,0.006299999999999972,0.0
B_00388_Nu_00001_Cl_00525_0013,388,1,525,13,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00525_0013.log,True,0,2,0.75,0.7566,0.75,0.75,0.00660000000000005,0.0
B_00388_Nu_00001_Cl_00529_0010,388,1,529,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00529_0010.log,True,0,2,0.75,0.756,0.75,0.75,0.006000000000000005,0.0
B_00388_Nu_00001_Cl_00550_0013,388,1,550,13,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00550_0013.log,True,0,2,0.75,0.7541,0.75,0.75,0.0040999999999999925,0.0
B_00388_Nu_00001_Cl_00552_0001,388,1,552,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00552_0001.log,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0
B_00388_Nu_00001_Cl_00553_0012,388,1,553,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00553_0012.log,True,0,2,0.75,0.7572,0.75,0.75,0.007199999999999984,0.0
B_00388_Nu_00001_Cl_00554_0012,388,1,554,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00554_0012.log,True,0,2,0.75,0.7549,0.75,0.75,0.0049000000000000155,0.0
B_00388_Nu_00001_Cl_00555_0001,388,1,555,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00555_0001.log,True,0,2,0.75,0.7569,0.75,0.75,0.006900000000000017,0.0
