key,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key
B_00388_LB_00001_Cl_00596,9.734997409226127,-26.695713787236325,B_00388_LB_00001_r,Cl_00596_r,B_00388_LB_00001_p,Cl_00596_p
B_00388_LB_00001_Cl_00606,9.855491309499756,-35.256890729975055,B_00388_LB_00001_r,Cl_00606_r,B_00388_LB_00001_p,Cl_00606_p
B_00388_LB_00001_Cl_00610,8.909173414458307,-53.82983368064047,B_00388_LB_00001_r,Cl_00610_r,B_00388_LB_00001_p,Cl_00610_p
B_00388_LB_00002_Cl_00478,10.541598166453435,-24.55285173849264,B_00388_LB_00002_r,Cl_00478_r,B_00388_LB_00002_p,Cl_00478_p
B_00388_LB_00002_Cl_00490,9.291650481757744,-27.25893743533265,B_00388_LB_00002_r,Cl_00490_r,B_00388_LB_00002_p,Cl_00490_p
B_00388_LB_00002_Cl_00497,11.413576115688695,-35.29640563422005,B_00388_LB_00002_r,Cl_00497_r,B_00388_LB_00002_p,Cl_00497_p
B_00388_LB_00002_Cl_00498,10.429059519085293,-37.01109191614652,B_00388_LB_00002_r,Cl_00498_r,B_00388_LB_00002_p,Cl_00498_p
B_00388_LB_00002_Cl_00501,8.048419053033545,-36.94994308202721,B_00388_LB_00002_r,Cl_00501_r,B_00388_LB_00002_p,Cl_00501_p
B_00388_LB_00002_Cl_00506,10.830739213353404,-39.934764531334494,B_00388_LB_00002_r,Cl_00506_r,B_00388_LB_00002_p,Cl_00506_p
B_00388_LB_00002_Cl_00507,10.95943829193831,-38.96252712285377,B_00388_LB_00002_r,Cl_00507_r,B_00388_LB_00002_p,Cl_00507_p
B_00388_LB_00002_Cl_00553,10.849329387279454,-36.05630139924375,B_00388_LB_00002_r,Cl_00553_r,B_00388_LB_00002_p,Cl_00553_p
B_00388_LB_00002_Cl_00554,9.03835589737353,-36.127923547148676,B_00388_LB_00002_r,Cl_00554_r,B_00388_LB_00002_p,Cl_00554_p
B_00388_LB_00002_Cl_00555,10.954189045930333,-37.97059009081756,B_00388_LB_00002_r,Cl_00555_r,B_00388_LB_00002_p,Cl_00555_p
B_00388_LB_00002_Cl_00573,10.691088330593331,-38.35014413325816,B_00388_LB_00002_r,Cl_00573_r,B_00388_LB_00002_p,Cl_00573_p
B_00388_LB_00002_Cl_00606,10.388959844974249,-34.977137615061224,B_00388_LB_00002_r,Cl_00606_r,B_00388_LB_00002_p,Cl_00606_p
B_00388_LB_00002_Cl_00609,7.090441430954474,-45.964853880794685,B_00388_LB_00002_r,Cl_00609_r,B_00388_LB_00002_p,Cl_00609_p
B_00388_LB_00003_Cl_00500,7.021450742809672,-37.7447990142428,B_00388_LB_00003_r,Cl_00500_r,B_00388_LB_00003_p,Cl_00500_p
B_00388_LB_00006_Cl_00500,13.764209164752252,-35.823394809456175,B_00388_LB_00006_r,Cl_00500_r,B_00388_LB_00006_p,Cl_00500_p
B_00388_LB_00013_Cl_00488,10.326615182991517,-45.40774937841404,B_00388_LB_00013_r,Cl_00488_r,B_00388_LB_00013_p,Cl_00488_p
B_00388_LB_00013_Cl_00500,11.755152652530453,-35.56882703230091,B_00388_LB_00013_r,Cl_00500_r,B_00388_LB_00013_p,Cl_00500_p
B_00388_LB_00014_Cl_00474,9.90720365528356,-22.692484455305223,B_00388_LB_00014_r,Cl_00474_r,B_00388_LB_00014_p,Cl_00474_p
B_00388_LB_00015_Cl_00475,10.847811672076112,-28.10536108313073,B_00388_LB_00015_r,Cl_00475_r,B_00388_LB_00015_p,Cl_00475_p
B_00388_LB_00015_Cl_00488,10.975822288162549,-44.76325671390604,B_00388_LB_00015_r,Cl_00488_r,B_00388_LB_00015_p,Cl_00488_p
B_00388_LB_00016_Cl_00476,10.907087236013258,-39.24051055870166,B_00388_LB_00016_r,Cl_00476_r,B_00388_LB_00016_p,Cl_00476_p
B_00388_LB_00017_Cl_00477,12.814815876019704,-23.521693267368185,B_00388_LB_00017_r,Cl_00477_r,B_00388_LB_00017_p,Cl_00477_p
B_00388_LB_00018_Cl_00478,9.513325919172416,-23.908468186284026,B_00388_LB_00018_r,Cl_00478_r,B_00388_LB_00018_p,Cl_00478_p
B_00388_LB_00018_Cl_00552,8.592725578678266,-48.36739866830708,B_00388_LB_00018_r,Cl_00552_r,B_00388_LB_00018_p,Cl_00552_p
