identifier,B_Index,N_Index,N_Atomid,Cl_Index,conf_idxs_ts,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol),bep_fit_deltaGa(kcal/mol),bep_residual(kcal/mol),bep_abs_residual(kcal/mol),bep_outlier_2sigma,bep_outlier_top5pct,log_found,log_path,log_source,log_name_variant,normal_termination,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after,high_spin_contamination
B_00388_Nu_00001_Cl_00495_0011,388,1,1,495,11,-36.15359104,11.30221141,9.44897192150227,1.8532394884977297,1.8532394884977297,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00495_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7563,0.75,0.75,0.0062999999999999,0.0,False
B_00388_Nu_00001_Cl_00497_0010,388,1,1,497,10,-35.57615875,11.76527838,9.65935786195811,2.1059205180418896,2.1059205180418896,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00497_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7575,0.75,0.75,0.0074999999999999,0.0,False
B_00388_Nu_00001_Cl_00498_0012,388,1,1,498,12,-37.29084503,11.4819383,9.03461641287059,2.4473218871294087,2.4473218871294087,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00498_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7557,0.75,0.75,0.0057,0.0,False
B_00388_Nu_00001_Cl_00501_0014,388,1,1,501,14,-37.2296962,10.57549764,9.056895828708809,1.518601811291191,1.518601811291191,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00501_0014.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7556,0.75,0.75,0.0056,0.0,False
B_00388_Nu_00001_Cl_00506_0011,388,1,1,506,11,-40.21451765,10.52197315,7.969383961558098,2.552589188441903,2.552589188441903,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00506_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7562,0.75,0.75,0.0061999999999999,0.0,False
B_00388_Nu_00001_Cl_00507_0002,388,1,1,507,2,-39.24228024,11.02766682,8.32361611204833,2.704050707951671,2.704050707951671,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00507_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7564,0.75,0.75,0.0063999999999999,0.0,False
B_00388_Nu_00001_Cl_00508_0010,388,1,1,508,10,-33.1754389,12.01176236,10.534053843045779,1.4777085169542215,1.4777085169542215,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00508_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7574,0.75,0.75,0.0073999999999999,0.0,False
B_00388_Nu_00001_Cl_00517_0010,388,1,1,517,10,-37.01995518,11.04166951,9.133314419267483,1.9083550907325169,1.9083550907325169,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00517_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7568,0.75,0.75,0.0068,0.0,False
B_00388_Nu_00001_Cl_00519_0004,388,1,1,519,4,-44.37625058,3.733998261,6.453067483302121,-2.719069222302121,2.719069222302121,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00519_0004.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7563,0.75,0.75,0.0062999999999999,0.0,False
B_00388_Nu_00001_Cl_00525_0013,388,1,1,525,13,-37.00000725,11.13849583,9.140582395246442,1.997913434753558,1.997913434753558,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00525_0013.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7566,0.75,0.75,0.0066,0.0,False
B_00388_Nu_00001_Cl_00529_0010,388,1,1,529,10,-36.58068925,10.34265574,9.29335980882001,1.049295931179989,1.049295931179989,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00529_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.756,0.75,0.75,0.006,0.0,False
B_00388_Nu_00001_Cl_00550_0013,388,1,1,550,13,-36.7255559,9.301139342,9.240578024827748,0.06056131717225277,0.06056131717225277,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00550_0013.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7541,0.75,0.75,0.0040999999999999,0.0,False
B_00388_Nu_00001_Cl_00552_0001,388,1,1,552,1,-49.29153534,9.098366714,4.66219637209209,4.436170341907911,4.436170341907911,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00552_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7528,0.75,0.75,0.0028,0.0,False
B_00388_Nu_00001_Cl_00553_0012,388,1,1,553,12,-36.33605451,10.71420365,9.382491834746496,1.3317118152535041,1.3317118152535041,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00553_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7572,0.75,0.75,0.0071999999999999,0.0,False
B_00388_Nu_00001_Cl_00554_0012,388,1,1,554,12,-36.40767666,9.923079701,9.356396492234182,0.5666832087658182,0.5666832087658182,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00554_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7549,0.75,0.75,0.0049,0.0,False
B_00388_Nu_00001_Cl_00555_0001,388,1,1,555,1,-38.25034321,10.78086853,8.685025767420255,2.0958427625797444,2.0958427625797444,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00555_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7569,0.75,0.75,0.0069,0.0,False
B_00388_Nu_00001_Cl_00557_0010,388,1,1,557,10,-36.96051448,10.60138105,9.154971482420034,1.4464095675799662,1.4464095675799662,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00557_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7563,0.75,0.75,0.0062999999999999,0.0,False
B_00388_Nu_00001_Cl_00558_0021,388,1,1,558,21,-38.67996016,11.22017612,8.52849595842478,2.691680161575219,2.691680161575219,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00558_0021.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7562,0.75,0.75,0.0061999999999999,0.0,False
B_00388_Nu_00001_Cl_00560_0012,388,1,1,560,12,-38.95287053,11.17520249,8.429061780865018,2.7461407091349823,2.7461407091349823,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00560_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7569,0.75,0.75,0.0069,0.0,False
