B_Index,N_Index,Cl_Index,Conf_id,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl
399,377,485,1,-1956.229669,43.85064125,57.86978817,2.047776819,2.381772055
400,67,483,11,-1799.107534,-2.17384825,9.4636789,2.273332699,2.073216477
400,71,492,20,-2664.745345,18.0161525,24.5593962,2.500458217,1.928666852
400,89,492,12,-2322.607691,16.0784325,24.10406337,2.498872706,2.011096549
400,91,492,2,-2285.460706,11.50082,18.5977195,2.545162701,1.951456159
400,92,492,0,-2437.885272,14.2323275,18.95688167,2.537089088,1.977850986
400,114,492,10,-2319.289552,19.825235,24.59449855,2.564630179,2.065627094
400,120,492,0,-2671.149218,10.3481025,16.13722925,2.550122837,1.972232209
400,121,492,0,-2935.262987,17.566235,24.92079228,2.694494267,1.941809364
400,122,492,10,-2670.018268,12.6002,17.32961102,2.725266594,1.920959022
400,132,492,10,-2455.10219,10.0971025,19.9346459,2.722597299,1.937946347
400,139,492,0,-2366.6685,22.4826975,26.12916275,2.54413925,1.910860743
400,160,456,10,-2829.595175,11.7318655,30.01481217,2.633920804,2.444791579
400,160,457,11,-2354.55869,14.753278,32.61155778,2.816762418,2.391517607
400,178,535,1,-1927.505678,2.0791585,28.0570561,2.769875337,2.37660591
400,254,483,11,-1965.129794,36.909299,52.5804589,2.173281512,2.241950595
400,292,483,11,-1981.170819,41.930554,55.94278588,2.149427147,2.260396434
400,294,492,0,-1856.570852,38.42301725,39.6307916,2.57296866,2.129084062
400,302,479,10,-2156.74658,37.950949,53.40197563,2.050023991,2.222018025
400,302,483,1,-1981.144476,44.8545785,58.02332487,2.112705452,2.327147453
400,306,483,1,-1981.155824,49.837807,59.71936325,2.121768042,2.348431834
400,306,485,0,-2003.155983,43.700104,56.29831483,2.030650204,2.411322681
400,336,492,0,-1727.672117,27.7858255,32.1053347,2.614347836,2.072152973
400,366,483,11,-2363.547838,42.03239725,53.54588648,2.272133775,2.28450203
400,377,479,0,-2145.792133,44.9060335,59.56037985,2.177389927,2.35806914
400,377,483,10,-1970.191582,51.809663,63.20793695,2.146042472,2.266286754
400,377,485,0,-1992.194629,45.67196,57.9748756,2.045782463,2.455050886
400,384,483,10,-2081.374531,35.7616015,49.50717097,2.264719058,2.205679272
401,85,493,0,-1572.771745,-3.05774475,29.77096567,2.358467153,2.200479627
401,141,480,0,-2154.461762,24.33696,27.92090115,2.213484757,2.039780227
401,141,483,0,-2099.086196,6.850041,31.77286638,2.154111678,2.045621502
401,141,492,0,-1969.663026,29.52481625,33.3784067,2.135558038,2.059936667
401,143,478,1,-1582.331898,-0.9468975,30.56699962,2.093796843,2.030199985
401,143,480,11,-2133.262101,19.48795375,27.3126654,2.214189494,1.993690429
401,143,481,0,-1575.242627,-2.971087,30.61553047,2.131585972,2.046555809
401,143,483,0,-2077.887187,2.00103475,30.75589595,2.146275892,2.000884402
401,143,486,0,-1531.490153,1.5415165,32.28992638,2.111858521,2.078154732
401,143,490,0,-1436.697759,-3.30272075,28.88935328,2.157714579,2.032696768
401,143,492,1,-1948.464534,24.67581,32.03616538,2.098794666,2.00665058
401,152,498,0,-1892.145371,12.96245575,41.42115577,2.476803368,2.277712587
401,152,584,0,-1457.862716,11.87324125,37.9665612,2.413198934,2.251093098
401,152,608,12,-1854.37433,10.73847025,37.86466148,2.460202343,2.231053476
401,160,457,2,-2280.190324,2.5635885,28.9370621,2.236363051,2.259747962
401,160,585,10,-1289.585423,-3.43625275,22.1531094,2.223904987,2.349966862
401,171,474,12,-1575.593841,27.16491425,46.09375922,2.332169565,2.241834579
401,171,477,13,-1872.520291,26.9745935,46.14818857,2.301477345,2.263828477
401,171,478,12,-1504.184425,27.8631335,45.9748919,2.2948251,2.257868441
401,171,481,0,-1497.093164,25.838944,47.27177125,2.27483274,2.258358475
401,171,490,12,-1358.548193,25.50731025,45.6107913,2.325430965,2.242724086
401,171,497,15,-1378.388481,17.08048725,45.2833618,2.385223158,2.332631112
401,171,499,10,-1298.602736,1.14173625,38.4929835,2.668848756,2.310938165
401,171,554,0,-1488.319103,16.22834225,44.73455657,2.389652517,2.283999464
401,171,606,0,-1335.740969,16.95586575,43.93072908,2.438922381,2.32505029
401,171,608,0,-1855.550631,13.75523925,42.16279803,2.485744244,2.253973925
401,193,493,11,-1330.060797,9.8257715,35.21699425,2.172684677,2.395367749
401,261,493,1,-1463.222058,1.89486175,34.32263105,2.290751989,2.341057044
401,263,493,10,-1237.591288,4.98002825,35.10552515,2.25233309,2.372431138
401,304,493,1,-1101.010679,2.76884375,36.09034247,2.179300541,2.304261922
401,333,488,0,-1961.615135,16.6399195,21.65144825,2.120221606,2.045223581
402,66,514,0,-2269.616083,-3.84525725,36.16706063,2.753288257,1.892441679
402,141,480,0,-2132.462745,24.98485375,27.32685945,2.234401492,2.06498431
402,141,483,10,-2077.085259,7.49793475,32.3843212,2.171412119,2.076954332
402,145,494,10,-1852.073966,6.184891,37.84511485,2.528735119,2.108609143
402,160,457,2,-2258.200275,0.34769775,26.3260597,2.23225013,2.260411637
402,160,459,0,-2337.238686,-2.33862975,27.6503357,2.251726343,2.236357194
402,160,494,0,-1774.699691,9.21979475,33.63461495,2.163837538,2.235686405
402,163,494,10,-2222.133723,5.1792595,30.67118345,2.377808015,2.14073576
402,193,490,11,-1366.797435,16.5922295,39.7405288,2.178301444,2.263697518
402,193,494,10,-1892.561042,3.57354975,31.25428782,2.352270991,2.173053934
402,263,494,10,-1800.092925,-3.8828445,29.03978385,2.445396278,2.134564918
402,306,526,1,-1352.3621,-0.65266275,8.2579251,2.581675961,2.279071282
402,333,488,12,-1939.622243,14.64616375,17.0197327,2.163406025,2.009238348
402,377,483,0,-1873.839872,36.431144,52.93535407,2.008568916,2.188088551
403,74,490,13,-2397.608272,5.65672425,34.6515038,2.31586321,2.060783926
403,145,495,0,-1309.214434,13.24734075,42.99603017,2.332935963,2.33095122
403,155,495,11,-2179.695503,5.18107925,33.1077283,2.484284855,2.300388049
403,160,495,0,-1231.859907,18.583538,33.29438445,2.370916955,2.402298531
403,160,527,11,-1190.201317,0.4817945,29.63658028,2.324123926,2.25471328
403,160,530,10,-1670.904404,0.800941,29.86637705,2.393600494,2.23959208
403,160,531,1,-1917.930355,2.59703425,29.76566958,2.432221713,2.288108112
403,160,532,0,-1770.15126,-0.19245425,27.62615812,2.419615824,2.252989781
403,160,533,1,-1749.261534,0.637038,28.31777607,2.316631985,2.275523358
403,160,538,11,-2220.660588,8.91520625,33.9947623,2.258274251,2.3906527
403,160,584,1,-1296.476885,16.3527755,35.83004292,2.115045038,2.496064068
403,160,586,11,-1368.232766,1.854137,22.54796378,2.301001246,2.473075521
403,163,495,10,-1679.278219,14.75170925,39.297062,2.312907233,2.361491194
403,178,495,10,-1259.388084,4.023028,33.53260855,2.355514509,2.307193576
403,193,495,10,-1349.70685,14.0064275,38.90663777,2.235049001,2.4174788
403,223,495,13,-1218.890602,7.4109005,35.7515866,2.383262131,2.331069204
403,237,495,3,-1183.212861,-3.670122,31.9399257,2.373071194,2.235203576
403,263,495,1,-1257.234615,10.11348025,42.07620302,2.341758398,2.373898043
403,263,584,11,-1321.862032,7.88271775,38.06206043,2.448634438,2.372042481
403,280,495,1,-1196.881232,7.7256545,38.795815,2.164362077,2.358571186
403,297,495,10,-1231.379861,-3.36622375,29.83015775,2.554988504,2.218786953
403,300,495,0,-1194.320454,16.0023795,43.65970555,2.0817993,2.417899502
403,302,495,14,-1226.547694,24.79760775,30.73353185,2.283756749,2.353585154
403,304,495,10,-1120.666981,5.61242275,37.6262805,2.298765178,2.325197834
403,306,483,10,-1831.85465,41.52838925,52.8057565,2.033476477,2.247701016
403,324,495,12,-1120.68707,-1.2084395,34.8496181,2.349064889,2.239839448
403,366,483,0,-2214.231771,38.9151655,50.72040458,2.193002942,2.120858515
403,377,483,1,-1820.887185,42.89357825,54.7232208,2.057541454,2.196840377
404,74,479,0,-3289.66184,1.26761275,17.8181637,2.116725246,2.17702564
404,74,483,0,-3114.05624,8.17124225,24.63314627,2.35218809,2.059139081
404,74,485,10,-3136.059292,2.03353925,19.39719843,2.043623927,2.311012731
404,145,496,1,-1548.351247,5.28524425,33.23918328,2.687762273,2.280534796
404,155,496,10,-2418.831426,5.804124,32.2199413,2.648699732,2.236863085
404,160,453,0,-2152.40857,7.00898675,23.24826005,2.493573411,2.432595789
404,160,458,3,-2245.059511,1.08475925,22.8750356,2.552632951,2.415305107
404,160,459,2,-2359.53542,4.07793425,25.0473904,2.583476502,2.451199341
404,160,460,0,-1801.510953,5.35188475,28.6984615,2.681623982,2.420733347
404,160,461,1,-1784.226867,2.23245675,25.00814027,2.713267619,2.36994061
404,160,479,10,-2088.022147,27.0551645,38.14450765,2.320344383,2.443028501
404,160,489,10,-2550.830712,20.27433675,33.51156847,2.376838025,2.400533359
404,160,523,0,-1436.746157,5.046857,24.75709635,2.75193206,2.331340062
404,160,532,10,-1845.407165,1.49250875,22.22694733,2.637010685,2.366584589
